Model,MAE,RMSE,R2
Random Forest,125491.57771627212,201451.3399779291,0.6708633794627048
Linear Regression,165579.28673746999,244021.4666163617,0.5170613646006639
K-Nearest Neighbors,141168.22783150303,221859.89375586988,0.6007972852610541
XGBoost,129567.1953125,201825.16441712613,0.6696406602859497
